Generador,Test,p-value,Pasa (alpha=0.01),Tiempo (ms)
LCG Conjunto 1 (Numerical Recipes),Monobit,0.596112,Si,0
LCG Conjunto 1 (Numerical Recipes),Frequency Within Block,0.883334,Si,0
LCG Conjunto 1 (Numerical Recipes),Runs,0.696744,Si,130
LCG Conjunto 1 (Numerical Recipes),Longest Run Ones In A Block,0.021337,Si,59
LCG Conjunto 1 (Numerical Recipes),Binary Matrix Rank,0.205616,Si,1171
LCG Conjunto 1 (Numerical Recipes),Discrete Fourier Transform,0.0,No,30
LCG Conjunto 1 (Numerical Recipes),Non Overlapping Template Matching,0.0,No,1303
LCG Conjunto 1 (Numerical Recipes),Maurers Universal,0.009832,No,312
LCG Conjunto 1 (Numerical Recipes),Linear Complexity,0.0,No,34309
LCG Conjunto 1 (Numerical Recipes),Serial,,No,16455
LCG Conjunto 1 (Numerical Recipes),Approximate Entropy,0.0,No,7692
LCG Conjunto 1 (Numerical Recipes),Cumulative Sums,0.0,No,342
LCG Conjunto 1 (Numerical Recipes),Random Excursion,0.630213,No,1280
LCG Conjunto 1 (Numerical Recipes),Random Excursion Variant,0.0,No,5
LCG Conjunto 2 (RANDU),Monobit,0.0,No,0
LCG Conjunto 2 (RANDU),Frequency Within Block,0.0,No,0
LCG Conjunto 2 (RANDU),Longest Run Ones In A Block,0.0,No,56
LCG Conjunto 2 (RANDU),Binary Matrix Rank,0.021354,Si,1075
LCG Conjunto 2 (RANDU),Discrete Fourier Transform,0.0,No,33
LCG Conjunto 2 (RANDU),Non Overlapping Template Matching,0.584519,Si,1255
LCG Conjunto 2 (RANDU),Maurers Universal,0.00984,No,307
LCG Conjunto 2 (RANDU),Linear Complexity,0.0,No,34349
LCG Conjunto 2 (RANDU),Serial,,No,15863
LCG Conjunto 2 (RANDU),Approximate Entropy,0.0,No,7505
LCG Conjunto 2 (RANDU),Cumulative Sums,0.0,No,334
LCG Conjunto 2 (RANDU),Random Excursion,0.630213,No,1216
LCG Conjunto 2 (RANDU),Random Excursion Variant,0.0,No,16
Mersenne Twister,Monobit,0.310583,Si,0
Mersenne Twister,Frequency Within Block,0.426321,Si,0
Mersenne Twister,Runs,0.24403,Si,117
Mersenne Twister,Longest Run Ones In A Block,0.670951,Si,47
Mersenne Twister,Binary Matrix Rank,0.541344,Si,1092
Mersenne Twister,Discrete Fourier Transform,0.0,No,32
Mersenne Twister,Non Overlapping Template Matching,0.062716,Si,1307
Mersenne Twister,Maurers Universal,0.009771,No,322
Mersenne Twister,Linear Complexity,0.0,No,36253
Mersenne Twister,Serial,0.0,No,16903
Mersenne Twister,Approximate Entropy,0.0,No,8105
Mersenne Twister,Cumulative Sums,0.0,No,386
Mersenne Twister,Random Excursion,0.683143,No,1444
Mersenne Twister,Random Excursion Variant,0.170252,Si,4
