Generador,Test,p-value,Pasa (alpha=0.01),Tiempo (ms)
Mersenne Twister,Monobit,0.310583,Si,0
Mersenne Twister,Frequency Within Block,0.426321,Si,0
Mersenne Twister,Runs,0.24403,Si,215
Mersenne Twister,Longest Run Ones In A Block,0.670951,Si,112
Mersenne Twister,Binary Matrix Rank,0.541344,Si,2143
Mersenne Twister,Discrete Fourier Transform,0.0,No,47
Mersenne Twister,Non Overlapping Template Matching,0.0,No,2385
Mersenne Twister,Maurers Universal,0.009771,No,609
Mersenne Twister,Linear Complexity,0.0,No,63586
Mersenne Twister,Serial,0.0,No,30203
Mersenne Twister,Approximate Entropy,0.0,No,14091
Mersenne Twister,Cumulative Sums,0.0,No,675
Mersenne Twister,Random Excursion,0.683143,No,2312
Mersenne Twister,Random Excursion Variant,0.170252,Si,0
